age,overall,potential,pace,shooting,passing,dribbling,defending,physic,position,nationality,value_eur
29,72,72,83.0,68.0,65.0,75.0,66.0,63.0,"RM, LB, LM",Turkey,3000000.0
30,72,72,43.0,65.0,67.0,64.0,71.0,77.0,"CDM, CB",Serbia,2300000.0
29,72,72,86.0,66.0,64.0,74.0,25.0,62.0,RM,Northern Ireland,3000000.0
27,72,72,70.0,53.0,67.0,71.0,70.0,71.0,RB,Mexico,2600000.0
26,72,73,73.0,63.0,71.0,75.0,39.0,62.0,"RM, CAM",Sweden,3700000.0
30,72,72,43.0,53.0,61.0,52.0,75.0,70.0,"CB, LB",Russia,2300000.0
30,72,72,78.0,59.0,67.0,70.0,69.0,68.0,LB,Mexico,2200000.0
28,72,72,63.0,53.0,67.0,70.0,74.0,75.0,"RB, CB",Czech Republic,2500000.0
30,72,72,56.0,70.0,55.0,68.0,26.0,73.0,ST,Spain,3000000.0
28,72,72,62.0,30.0,54.0,42.0,71.0,75.0,CB,Gabon,2500000.0
29,72,72,64.0,65.0,72.0,72.0,52.0,53.0,"CAM, CM",France,3000000.0
28,72,72,74.0,70.0,65.0,72.0,53.0,71.0,ST,Turkey,3200000.0
29,72,72,51.0,31.0,52.0,43.0,72.0,77.0,CB,England,2400000.0
28,72,72,53.0,71.0,48.0,60.0,31.0,78.0,ST,Czech Republic,3200000.0
29,72,72,82.0,57.0,68.0,73.0,63.0,68.0,"RM, LM",Paraguay,3000000.0
28,72,72,77.0,70.0,71.0,73.0,57.0,62.0,"LM, RM",Mexico,3100000.0
28,72,72,69.0,37.0,63.0,66.0,70.0,76.0,LB,France,2500000.0
29,72,72,51.0,63.0,69.0,68.0,72.0,71.0,"CB, CDM, CM",Germany,2400000.0
28,72,73,61.0,40.0,61.0,63.0,71.0,74.0,"CB, CDM, LB",Germany,2800000.0
26,72,74,53.0,34.0,38.0,35.0,72.0,78.0,CB,England,3100000.0
28,72,72,55.0,34.0,49.0,56.0,74.0,70.0,CB,Italy,2500000.0
27,72,72,91.0,69.0,64.0,76.0,29.0,64.0,"LM, CAM, RM",Canada,3300000.0
28,72,74,60.0,36.0,49.0,44.0,70.0,85.0,CB,Spain,2900000.0
27,72,72,72.0,70.0,66.0,74.0,33.0,73.0,"RW, ST, LW",Czech Republic,3300000.0
30,72,72,74.0,67.0,71.0,74.0,63.0,74.0,"CM, CDM",Germany,2900000.0
28,72,72,69.0,49.0,59.0,58.0,71.0,78.0,"RB, CB, LB, RWB",Spain,2500000.0
26,72,72,80.0,56.0,68.0,72.0,70.0,66.0,"LB, RB",Brazil,2600000.0
29,72,72,77.0,71.0,61.0,72.0,32.0,61.0,ST,Iran,3100000.0
30,72,72,60.0,53.0,63.0,63.0,71.0,76.0,CDM,Portugal,2300000.0
28,72,72,73.0,70.0,63.0,73.0,27.0,75.0,"ST, LM",Morocco,3200000.0
28,72,73,38.0,37.0,57.0,53.0,69.0,81.0,CB,Netherlands,2800000.0
30,72,72,73.0,72.0,60.0,67.0,34.0,67.0,ST,Portugal,3000000.0
31,72,72,76.0,71.0,69.0,76.0,28.0,54.0,"CF, ST, LM, CAM",South Africa,2800000.0
26,72,72,76.0,67.0,68.0,79.0,34.0,58.0,"LM, RM",Belgium,3300000.0
28,72,72,65.0,28.0,63.0,69.0,72.0,69.0,"LB, RB",France,2500000.0
26,72,74,76.0,71.0,72.0,73.0,39.0,70.0,"CAM, CM, CF",Serbia,3800000.0
35,72,72,65.0,70.0,61.0,70.0,30.0,60.0,ST,Colombia,1400000.0
27,72,72,78.0,47.0,62.0,66.0,70.0,75.0,RB,Mali,2600000.0
27,72,72,78.0,69.0,69.0,72.0,29.0,61.0,LM,France,3300000.0
26,72,74,68.0,40.0,52.0,56.0,72.0,70.0,CB,Germany,3100000.0
26,72,73,76.0,64.0,63.0,78.0,25.0,61.0,"RM, RW",England,3700000.0
29,72,72,77.0,64.0,72.0,72.0,66.0,74.0,"RB, RWB, RM",Egypt,2400000.0
28,72,72,74.0,47.0,62.0,68.0,72.0,76.0,LB,Spain,2500000.0
24,72,76,66.0,72.0,61.0,66.0,27.0,77.0,ST,England,4100000.0
27,72,73,80.0,68.0,67.0,76.0,35.0,68.0,"ST, LM",Ecuador,3600000.0
30,72,72,66.0,72.0,63.0,72.0,29.0,69.0,"ST, CF",Japan,3000000.0
23,72,77,59.0,62.0,71.0,70.0,61.0,65.0,"CM, CDM",Belgium,4100000.0
26,72,74,70.0,36.0,54.0,54.0,72.0,76.0,CB,Denmark,3100000.0
31,72,72,51.0,48.0,64.0,61.0,70.0,83.0,"CDM, CM",Senegal,2100000.0
27,72,73,58.0,68.0,72.0,73.0,52.0,64.0,"CM, CAM",Poland,3500000.0
27,72,72,63.0,66.0,75.0,70.0,49.0,69.0,"CM, CAM",Sweden,3200000.0
31,72,72,61.0,40.0,47.0,48.0,72.0,83.0,CB,Spain,2100000.0
27,72,73,47.0,36.0,54.0,56.0,72.0,71.0,CB,France,2900000.0
27,72,73,36.0,40.0,55.0,59.0,71.0,73.0,CB,Netherlands,2900000.0
26,72,75,48.0,44.0,51.0,52.0,71.0,80.0,CB,Portugal,3200000.0
25,72,75,75.0,69.0,71.0,73.0,65.0,60.0,"RM, LM, RB",England,3900000.0
27,72,72,86.0,44.0,65.0,68.0,67.0,73.0,LB,Côte d'Ivoire,2600000.0
26,72,74,71.0,50.0,63.0,69.0,72.0,69.0,"RB, CDM, LB",Serbia,3100000.0
25,72,76,70.0,73.0,59.0,68.0,28.0,61.0,ST,France,4100000.0
27,72,72,73.0,58.0,70.0,74.0,67.0,67.0,"CM, CDM",South Africa,3200000.0
28,72,72,79.0,47.0,64.0,69.0,69.0,73.0,"LB, LM",Croatia,2500000.0
26,72,72,79.0,66.0,62.0,72.0,66.0,63.0,"RB, RM",Brazil,2600000.0
25,72,76,80.0,49.0,63.0,64.0,68.0,72.0,"LB, CB",Switzerland,3300000.0
26,72,73,68.0,39.0,53.0,60.0,75.0,71.0,"LB, CB",Italy,3000000.0
27,72,72,65.0,59.0,66.0,63.0,71.0,78.0,"CB, LB",Montenegro,2600000.0
28,72,72,72.0,62.0,60.0,64.0,73.0,82.0,CDM,Brazil,2500000.0
25,72,75,54.0,45.0,54.0,46.0,71.0,80.0,CB,Bosnia and Herzegovina,3300000.0
25,72,73,76.0,74.0,71.0,77.0,42.0,58.0,"RM, CAM, CM",Bosnia and Herzegovina,3700000.0
27,72,73,67.0,63.0,72.0,74.0,53.0,60.0,"CAM, LM, RM, ST",Spain,3600000.0
26,72,74,71.0,67.0,71.0,72.0,63.0,70.0,"CM, LM, CDM",England,3700000.0
25,72,74,66.0,63.0,73.0,76.0,54.0,61.0,"CM, CDM",England,3700000.0
25,72,74,66.0,59.0,64.0,67.0,71.0,73.0,"CDM, CM",Guinea Bissau,3200000.0
32,72,72,68.0,69.0,59.0,71.0,32.0,69.0,ST,Portugal,2500000.0
26,72,72,64.0,37.0,52.0,60.0,73.0,72.0,CB,Spain,2700000.0
27,72,73,70.0,46.0,65.0,70.0,71.0,68.0,LB,Germany,2900000.0
30,72,72,77.0,70.0,64.0,74.0,38.0,68.0,"RW, LW",Portugal,2900000.0
29,72,72,74.0,45.0,64.0,66.0,71.0,61.0,"RB, RWB",Russia,2400000.0
26,72,73,93.0,64.0,63.0,73.0,26.0,70.0,"LM, ST, RM",Australia,3700000.0
28,72,72,77.0,64.0,70.0,69.0,67.0,74.0,"RB, LB",Norway,2500000.0
26,72,73,70.0,26.0,53.0,49.0,70.0,78.0,CB,Belgium,3000000.0
25,72,73,76.0,68.0,71.0,75.0,32.0,53.0,"LW, RW",Portugal,3700000.0
24,72,76,73.0,57.0,67.0,66.0,70.0,64.0,CDM,Poland,3400000.0
25,72,75,77.0,72.0,72.0,72.0,68.0,78.0,"CM, RB, RM",Curacao,3800000.0
27,72,73,60.0,72.0,56.0,63.0,35.0,68.0,ST,Serbia,3600000.0
27,72,72,75.0,61.0,67.0,75.0,69.0,68.0,LB,Costa Rica,2600000.0
24,72,76,55.0,61.0,69.0,65.0,69.0,71.0,CDM,England,3400000.0
29,72,72,43.0,34.0,46.0,43.0,70.0,84.0,CB,Finland,2400000.0
27,72,72,88.0,47.0,64.0,70.0,67.0,72.0,RB,Costa Rica,2600000.0
28,72,72,74.0,24.0,50.0,50.0,72.0,80.0,"RB, CB",Spain,2500000.0
23,72,79,79.0,64.0,68.0,74.0,60.0,73.0,CM,Norway,4300000.0
25,72,75,62.0,33.0,53.0,49.0,72.0,76.0,CB,Scotland,3300000.0
25,72,75,68.0,58.0,69.0,70.0,72.0,73.0,"CM, CDM",Ghana,3800000.0
36,72,72,60.0,76.0,59.0,64.0,28.0,71.0,ST,Portugal,1100000.0
28,72,72,76.0,32.0,56.0,46.0,70.0,84.0,CB,Korea Republic,2500000.0
24,72,77,54.0,58.0,74.0,70.0,65.0,64.0,"CDM, CAM, CM",Spain,3500000.0
26,72,73,84.0,64.0,66.0,76.0,25.0,65.0,"RM, CF, LM",Russia,3700000.0
32,72,72,65.0,69.0,56.0,71.0,30.0,70.0,ST,France,2500000.0
28,72,72,80.0,53.0,68.0,70.0,69.0,74.0,"RB, LB",Uruguay,2500000.0
25,72,76,69.0,38.0,56.0,63.0,71.0,78.0,CB,France,3400000.0
26,72,74,75.0,61.0,68.0,70.0,67.0,80.0,CDM,Albania,3100000.0
29,72,72,61.0,36.0,58.0,45.0,74.0,79.0,"CDM, CB",New Caledonia,2400000.0
32,72,72,53.0,23.0,37.0,52.0,73.0,72.0,CB,Brazil,1800000.0
26,72,75,68.0,69.0,49.0,64.0,22.0,72.0,ST,Albania,3900000.0
27,72,72,83.0,57.0,62.0,72.0,69.0,64.0,"RB, RM",Mexico,2600000.0
30,72,72,79.0,65.0,69.0,76.0,37.0,62.0,"LM, RM",Spain,2900000.0
25,72,74,79.0,61.0,67.0,76.0,31.0,59.0,RM,Brazil,3800000.0
27,72,73,80.0,31.0,61.0,68.0,68.0,77.0,RB,France,2900000.0
28,72,72,84.0,74.0,64.0,74.0,33.0,58.0,"LW, LM",Portugal,3100000.0
25,72,77,42.0,45.0,59.0,54.0,73.0,78.0,CB,Switzerland,3500000.0
27,72,72,58.0,48.0,65.0,66.0,70.0,72.0,"CDM, CB",Germany,2600000.0
26,72,74,77.0,62.0,67.0,62.0,69.0,67.0,"CDM, CM",Russia,3100000.0
23,72,79,56.0,37.0,54.0,57.0,69.0,79.0,CB,Turkey,3700000.0
27,72,74,51.0,49.0,69.0,58.0,72.0,74.0,CB,Serbia,3000000.0
24,72,79,74.0,65.0,68.0,74.0,69.0,73.0,"CDM, CM",Russia,3700000.0
26,72,74,68.0,38.0,62.0,63.0,72.0,67.0,"CB, RB",Netherlands,3100000.0
25,72,74,79.0,41.0,67.0,69.0,69.0,75.0,"CDM, LB",Scotland,3200000.0
26,72,74,89.0,58.0,62.0,74.0,67.0,72.0,RB,Belgium,3100000.0
28,72,72,77.0,74.0,65.0,76.0,36.0,64.0,ST,Brazil,3200000.0
26,72,73,44.0,42.0,48.0,48.0,72.0,75.0,CB,Brazil,3000000.0
30,72,72,74.0,74.0,68.0,72.0,35.0,71.0,"LM, ST",Romania,2900000.0
27,72,72,86.0,62.0,69.0,72.0,35.0,61.0,"LM, CAM",Romania,3300000.0
30,72,72,66.0,71.0,71.0,70.0,52.0,63.0,"CAM, CM",France,2900000.0
28,72,72,59.0,71.0,73.0,72.0,58.0,67.0,"CAM, CM, RM",Germany,3100000.0
27,72,74,65.0,46.0,55.0,50.0,74.0,69.0,CB,Russia,3000000.0
27,72,72,67.0,69.0,55.0,70.0,46.0,75.0,ST,France,3300000.0
30,72,72,72.0,60.0,70.0,75.0,60.0,66.0,CM,Albania,2900000.0
25,72,73,79.0,68.0,67.0,74.0,33.0,61.0,RM,Denmark,3700000.0
25,72,75,54.0,72.0,71.0,73.0,26.0,68.0,"CF, CAM, ST",Austria,4000000.0
24,72,77,81.0,55.0,61.0,64.0,72.0,72.0,"LB, LM",Italy,3500000.0
25,72,75,84.0,71.0,63.0,72.0,37.0,74.0,"RM, ST",Congo DR,3900000.0
25,72,76,67.0,33.0,49.0,55.0,70.0,81.0,"CB, LB",Italy,3400000.0
22,72,77,75.0,53.0,68.0,80.0,22.0,47.0,CAM,Norway,4200000.0
26,72,76,71.0,54.0,63.0,64.0,69.0,86.0,CDM,Mali,3300000.0
27,72,73,71.0,70.0,73.0,71.0,68.0,68.0,"LB, LM",Argentina,2900000.0
29,72,72,64.0,71.0,55.0,64.0,35.0,75.0,ST,Norway,3100000.0
26,72,76,41.0,47.0,68.0,67.0,67.0,71.0,"CDM, CM",Spain,3300000.0
26,72,73,77.0,69.0,68.0,75.0,30.0,42.0,"LM, RM",France,3700000.0
25,72,75,75.0,65.0,71.0,72.0,57.0,71.0,CM,Netherlands,3800000.0
29,72,72,81.0,66.0,70.0,72.0,52.0,60.0,"LM, CM, LB",Argentina,3000000.0
27,72,73,73.0,58.0,69.0,71.0,65.0,76.0,"CM, CDM",United States,3500000.0
23,72,79,87.0,60.0,63.0,71.0,70.0,75.0,RB,England,3700000.0
23,72,75,75.0,65.0,68.0,71.0,69.0,68.0,"CM, CDM",Albania,3900000.0
28,72,72,78.0,66.0,56.0,66.0,39.0,82.0,ST,United States,3200000.0
26,72,73,91.0,71.0,65.0,69.0,34.0,63.0,"ST, RW",Mali,3700000.0
26,72,73,57.0,62.0,68.0,68.0,68.0,75.0,"CM, CDM",Spain,3600000.0
24,72,75,74.0,71.0,70.0,73.0,29.0,65.0,"ST, LW",France,4000000.0
27,72,73,83.0,71.0,61.0,73.0,43.0,68.0,ST,Bermuda,3600000.0
24,72,76,82.0,67.0,59.0,69.0,25.0,77.0,ST,Sweden,4100000.0
28,72,72,56.0,63.0,73.0,67.0,60.0,63.0,CM,Korea Republic,3100000.0
26,72,74,65.0,58.0,76.0,70.0,60.0,66.0,"CM, CDM",Morocco,3700000.0
23,72,79,85.0,60.0,65.0,70.0,69.0,74.0,"LB, LM, LWB, CM",England,3700000.0
25,72,77,75.0,39.0,68.0,74.0,68.0,70.0,RB,Spain,3400000.0
26,72,75,65.0,59.0,68.0,71.0,67.0,76.0,"CDM, CM",Czech Republic,3200000.0
30,72,72,53.0,39.0,46.0,56.0,74.0,68.0,CB,Portugal,2300000.0
23,72,76,77.0,67.0,69.0,76.0,41.0,62.0,"RM, LM, CAM",Belgium,4100000.0
25,72,75,79.0,61.0,69.0,77.0,43.0,62.0,"RW, CF",Libya,3900000.0
25,72,76,74.0,34.0,67.0,65.0,70.0,73.0,RB,England,3300000.0
26,72,75,71.0,72.0,62.0,73.0,27.0,62.0,ST,United States,3900000.0
24,72,75,36.0,41.0,49.0,51.0,72.0,76.0,CB,Netherlands,3300000.0
30,72,72,56.0,73.0,52.0,66.0,32.0,73.0,ST,Israel,3000000.0
29,72,72,78.0,68.0,69.0,73.0,37.0,70.0,"CAM, LM",Argentina,3000000.0
32,72,72,56.0,19.0,43.0,47.0,73.0,75.0,CB,Ecuador,1800000.0
24,72,77,78.0,59.0,64.0,75.0,34.0,56.0,"LM, RM",Spain,4200000.0
27,72,73,91.0,64.0,67.0,75.0,64.0,75.0,"RB, RM",Peru,2900000.0
27,72,72,92.0,67.0,64.0,73.0,37.0,77.0,"ST, RW",Colombia,3300000.0
26,72,73,86.0,62.0,66.0,76.0,48.0,71.0,RM,Ecuador,3700000.0
27,72,73,78.0,57.0,68.0,70.0,68.0,68.0,"CDM, CM",Mexico,2900000.0
31,72,72,80.0,68.0,60.0,71.0,31.0,76.0,"ST, RW",Colombia,2800000.0
23,72,81,69.0,25.0,50.0,48.0,72.0,75.0,CB,France,4200000.0
22,72,80,81.0,40.0,62.0,73.0,65.0,69.0,LB,Ecuador,3900000.0
24,72,75,61.0,51.0,61.0,64.0,71.0,78.0,"CDM, CM",Sweden,3300000.0
24,72,74,75.0,66.0,68.0,76.0,37.0,69.0,LM,Tunisia,3800000.0
24,72,77,91.0,70.0,66.0,74.0,58.0,77.0,"CAM, LW",Haiti,4200000.0
27,72,73,61.0,62.0,72.0,72.0,63.0,79.0,"CM, CDM",Chile,3500000.0
27,72,74,60.0,33.0,33.0,38.0,73.0,76.0,CB,Italy,3000000.0
26,72,72,63.0,65.0,71.0,73.0,66.0,71.0,"CAM, CM, CDM",Portugal,3300000.0
25,72,75,77.0,65.0,73.0,74.0,48.0,65.0,"CM, CDM",France,3800000.0
27,72,74,63.0,40.0,45.0,51.0,74.0,73.0,CB,South Africa,3000000.0
24,72,76,74.0,58.0,65.0,75.0,72.0,77.0,"CM, CDM, RB, RM",Gabon,4000000.0
25,72,74,84.0,71.0,65.0,74.0,52.0,68.0,"RW, LW, RM",North Macedonia,3800000.0
22,72,77,90.0,65.0,60.0,81.0,28.0,59.0,"RM, LM",Turkey,4200000.0
23,72,79,79.0,58.0,67.0,72.0,68.0,66.0,"RB, RWB",Spain,3700000.0
23,72,78,73.0,54.0,65.0,66.0,71.0,75.0,"CDM, CM",England,3600000.0
34,72,72,31.0,36.0,44.0,35.0,73.0,72.0,CB,Colombia,950000.0
23,72,79,71.0,32.0,49.0,57.0,70.0,79.0,CB,Nigeria,3700000.0
24,72,76,91.0,64.0,63.0,76.0,38.0,49.0,"RW, RM, LW, ST",Gambia,4100000.0
25,72,77,68.0,57.0,71.0,71.0,61.0,69.0,CM,Argentina,4100000.0
28,72,73,64.0,43.0,48.0,49.0,71.0,80.0,CB,Tunisia,2800000.0
26,72,75,81.0,72.0,64.0,74.0,27.0,61.0,ST,Argentina,3900000.0
25,72,74,62.0,73.0,51.0,58.0,26.0,78.0,ST,South Africa,3900000.0
25,72,76,71.0,71.0,56.0,72.0,25.0,72.0,ST,Italy,4100000.0
23,72,77,75.0,52.0,64.0,66.0,70.0,75.0,"CDM, CB",Greece,3500000.0
22,72,82,54.0,57.0,71.0,72.0,62.0,68.0,"CM, CDM",Italy,4900000.0
23,72,78,75.0,49.0,66.0,67.0,69.0,75.0,"CDM, CM",Belgium,3600000.0
27,72,73,76.0,71.0,65.0,69.0,30.0,75.0,ST,United States,3600000.0
26,72,73,79.0,74.0,67.0,71.0,31.0,65.0,"RM, LM, CAM",Spain,3700000.0
21,72,79,87.0,71.0,65.0,80.0,17.0,38.0,"RM, LM",Belgium,4400000.0
26,72,73,75.0,65.0,71.0,73.0,68.0,71.0,"CDM, CM",Saudi Arabia,3000000.0
30,72,72,70.0,68.0,66.0,66.0,71.0,79.0,CDM,Colombia,2300000.0
25,72,75,66.0,36.0,52.0,45.0,74.0,71.0,CB,Sweden,3300000.0
34,72,72,64.0,65.0,73.0,74.0,50.0,64.0,"CAM, CM",Syria,1600000.0
24,72,74,82.0,34.0,63.0,71.0,69.0,67.0,LB,France,3100000.0
23,72,78,58.0,74.0,52.0,68.0,32.0,73.0,ST,Brazil,4300000.0
22,72,78,61.0,52.0,51.0,57.0,71.0,74.0,CB,Brazil,3600000.0
26,72,75,77.0,61.0,71.0,72.0,57.0,76.0,"CM, CF",Italy,3800000.0
27,72,72,72.0,72.0,61.0,69.0,34.0,70.0,ST,Algeria,3300000.0
24,72,78,73.0,76.0,61.0,73.0,27.0,60.0,"ST, LM",Sweden,4300000.0
30,72,72,64.0,48.0,49.0,56.0,74.0,75.0,CB,Serbia,2300000.0
25,72,76,41.0,48.0,63.0,65.0,68.0,74.0,"CDM, CM",Mali,3400000.0
25,72,72,62.0,34.0,50.0,46.0,71.0,76.0,CB,Denmark,2800000.0
31,72,72,40.0,37.0,47.0,45.0,73.0,78.0,CB,Colombia,2100000.0
28,72,73,72.0,51.0,50.0,57.0,71.0,78.0,CB,Colombia,2800000.0
24,72,75,78.0,47.0,63.0,69.0,69.0,78.0,LB,Germany,3300000.0
26,72,75,79.0,70.0,70.0,71.0,63.0,71.0,"CM, CDM, CAM",Poland,3800000.0
26,72,75,70.0,36.0,52.0,48.0,71.0,78.0,CB,Saudi Arabia,3200000.0
22,72,78,69.0,74.0,53.0,67.0,23.0,69.0,ST,Spain,4300000.0
30,72,72,77.0,53.0,58.0,70.0,68.0,77.0,"RB, RWB",Morocco,2200000.0
24,72,78,59.0,67.0,69.0,71.0,64.0,71.0,"CM, CDM, LB",Brazil,4200000.0
25,72,72,85.0,66.0,65.0,75.0,33.0,73.0,"RM, CM, LM",Saudi Arabia,3400000.0
25,72,74,81.0,41.0,65.0,69.0,69.0,74.0,"LB, LM",Norway,3100000.0
29,72,72,67.0,60.0,67.0,68.0,67.0,72.0,"CDM, CM",Spain,2400000.0
22,72,80,83.0,64.0,66.0,80.0,22.0,45.0,"RM, RW, LW",Brazil,4600000.0
27,72,72,75.0,62.0,63.0,74.0,66.0,83.0,"RB, RM",Brazil,2600000.0
24,72,78,71.0,58.0,68.0,71.0,70.0,62.0,"CM, CDM",Russia,4200000.0
22,72,78,84.0,64.0,64.0,74.0,38.0,62.0,"RM, LM",Senegal,4300000.0
31,72,72,71.0,70.0,71.0,73.0,46.0,57.0,"CAM, LM, CM",South Africa,2700000.0
22,72,78,69.0,70.0,72.0,74.0,58.0,64.0,"CM, LM, CAM",England,4200000.0
23,72,78,74.0,70.0,69.0,74.0,34.0,63.0,"LM, ST",Wales,4300000.0
25,72,78,57.0,33.0,49.0,50.0,71.0,76.0,CB,Peru,3600000.0
26,72,77,66.0,39.0,50.0,56.0,71.0,76.0,CB,Spain,3400000.0
23,72,79,55.0,30.0,42.0,47.0,74.0,69.0,CB,Italy,3700000.0
24,72,77,75.0,71.0,64.0,77.0,35.0,65.0,"ST, CAM",Brazil,4200000.0
28,72,72,67.0,36.0,43.0,41.0,71.0,79.0,CB,Croatia,2500000.0
24,72,76,65.0,36.0,54.0,53.0,72.0,73.0,CB,Belgium,3400000.0
25,72,75,83.0,59.0,69.0,72.0,49.0,71.0,"RM, RB, CM",Argentina,3900000.0
23,72,78,59.0,31.0,48.0,55.0,69.0,78.0,CB,Portugal,3600000.0
23,72,76,73.0,70.0,63.0,73.0,25.0,69.0,"LM, RM, ST, CAM",Turkey,4100000.0
28,72,73,54.0,50.0,66.0,66.0,66.0,72.0,"CDM, CM",Spain,2800000.0
28,72,72,65.0,70.0,55.0,64.0,29.0,81.0,ST,Guinea Bissau,3200000.0
24,72,76,73.0,63.0,71.0,74.0,50.0,55.0,CAM,Portugal,4100000.0
22,72,82,71.0,70.0,52.0,69.0,30.0,74.0,ST,Germany,5000000.0
23,72,80,87.0,66.0,65.0,78.0,25.0,60.0,"RM, LM, CAM",Saudi Arabia,4600000.0
22,72,81,64.0,43.0,57.0,60.0,74.0,67.0,"CB, CDM",Spain,4200000.0
21,72,80,79.0,67.0,70.0,71.0,68.0,76.0,"CDM, CM",United States,3900000.0
25,72,75,63.0,73.0,54.0,67.0,42.0,74.0,ST,Australia,4000000.0
22,72,79,70.0,58.0,70.0,77.0,53.0,66.0,CM,Brazil,4300000.0
28,72,73,71.0,33.0,49.0,47.0,72.0,79.0,CB,Spain,2800000.0
22,72,81,66.0,49.0,60.0,65.0,73.0,74.0,"CDM, CB, RB",Northern Ireland,4200000.0
23,72,78,66.0,72.0,74.0,73.0,43.0,56.0,"CAM, LM",Spain,4300000.0
25,72,76,68.0,30.0,49.0,50.0,73.0,70.0,CB,Colombia,3400000.0
25,72,78,61.0,43.0,58.0,64.0,71.0,74.0,"CDM, CM",Colombia,3600000.0
25,72,78,65.0,46.0,66.0,67.0,69.0,71.0,"CDM, CM",Colombia,3600000.0
26,72,75,80.0,41.0,55.0,65.0,68.0,69.0,LB,Colombia,3200000.0
24,72,81,48.0,40.0,48.0,48.0,74.0,79.0,CB,Colombia,4200000.0
27,72,73,75.0,57.0,60.0,67.0,68.0,79.0,LB,Colombia,2900000.0
30,72,72,80.0,72.0,63.0,73.0,38.0,66.0,ST,Colombia,3000000.0
22,72,79,90.0,67.0,64.0,74.0,46.0,64.0,"LW, LM, CAM, RM",Chile,4400000.0
23,72,77,79.0,71.0,61.0,72.0,43.0,68.0,"ST, LM",Mexico,4200000.0
23,72,80,83.0,70.0,63.0,75.0,48.0,69.0,"RM, LM",Congo DR,4600000.0
28,72,72,78.0,70.0,62.0,71.0,23.0,66.0,ST,Argentina,3200000.0
28,72,72,62.0,34.0,53.0,59.0,73.0,71.0,CB,Argentina,2500000.0
26,72,72,71.0,71.0,71.0,73.0,62.0,76.0,CM,Argentina,3300000.0
31,72,72,75.0,70.0,68.0,73.0,51.0,67.0,"LM, RM, CM, CAM",Uruguay,2700000.0
26,72,75,72.0,71.0,69.0,73.0,25.0,66.0,ST,Argentina,3900000.0
25,72,76,80.0,61.0,66.0,72.0,70.0,75.0,"CM, RM",Argentina,3900000.0
23,72,76,75.0,32.0,63.0,66.0,70.0,69.0,"LB, CB",Senegal,3400000.0
22,72,80,56.0,69.0,65.0,73.0,24.0,76.0,ST,Croatia,4600000.0
24,72,77,70.0,41.0,59.0,54.0,71.0,77.0,CB,Spain,3500000.0
26,72,74,71.0,64.0,68.0,72.0,64.0,69.0,"CM, RM",Spain,3700000.0
21,72,82,80.0,66.0,64.0,76.0,49.0,64.0,"LM, LB",Brazil,5000000.0
26,72,73,75.0,53.0,66.0,69.0,68.0,66.0,LB,Portugal,3000000.0
20,72,83,81.0,62.0,70.0,72.0,49.0,55.0,"LM, CM",Poland,5500000.0
27,72,73,71.0,57.0,71.0,72.0,68.0,73.0,"LWB, LB, CB",Argentina,2900000.0
26,72,74,71.0,70.0,63.0,73.0,32.0,64.0,"ST, LW",Portugal,3800000.0
23,72,76,80.0,53.0,64.0,71.0,65.0,67.0,"RB, RM, LM",Germany,3400000.0
22,72,81,69.0,71.0,54.0,68.0,29.0,70.0,ST,Lithuania,4900000.0
24,72,76,74.0,69.0,64.0,73.0,22.0,73.0,"ST, RM",Senegal,4100000.0
26,72,72,70.0,57.0,62.0,66.0,70.0,71.0,LB,Portugal,2600000.0
27,72,73,91.0,60.0,60.0,72.0,66.0,69.0,RB,Argentina,2900000.0
28,72,73,59.0,61.0,63.0,67.0,70.0,78.0,CB,Argentina,2800000.0
22,72,80,55.0,27.0,49.0,56.0,71.0,76.0,CB,Czech Republic,3900000.0
24,72,78,72.0,48.0,64.0,66.0,69.0,77.0,CDM,Argentina,3600000.0
24,72,78,76.0,67.0,70.0,76.0,47.0,50.0,"RM, LM",Spain,4300000.0
33,72,72,54.0,29.0,41.0,50.0,73.0,71.0,CB,Brazil,1300000.0
22,72,77,67.0,39.0,60.0,63.0,74.0,63.0,"CB, RB",Spain,3500000.0
21,72,81,62.0,52.0,70.0,73.0,69.0,51.0,"CDM, CAM, CM",Spain,4200000.0
25,72,75,77.0,65.0,69.0,73.0,35.0,46.0,"RM, CAM",Argentina,3900000.0
25,72,75,78.0,65.0,68.0,72.0,51.0,63.0,"RM, LM, CAM",Spain,3900000.0
23,72,77,78.0,73.0,66.0,73.0,33.0,72.0,"LM, ST, LW",Croatia,4200000.0
24,72,75,51.0,19.0,38.0,47.0,75.0,64.0,CB,Slovakia,3300000.0
24,72,76,69.0,65.0,72.0,76.0,39.0,55.0,"CAM, RW, CM",Morocco,4100000.0
22,72,78,74.0,70.0,54.0,68.0,23.0,66.0,ST,Finland,4300000.0
23,72,80,79.0,62.0,66.0,76.0,46.0,50.0,"RW, LW",Italy,4600000.0
22,72,79,76.0,48.0,65.0,69.0,68.0,67.0,"RB, RM, RWB",Switzerland,3700000.0
21,72,78,62.0,57.0,68.0,75.0,66.0,78.0,"CM, CDM",Peru,4200000.0
23,72,77,71.0,43.0,62.0,66.0,72.0,70.0,"CB, LB",Uruguay,3500000.0
20,72,80,77.0,71.0,55.0,72.0,28.0,62.0,ST,Argentina,4700000.0
22,72,81,78.0,71.0,64.0,76.0,40.0,55.0,"ST, RM",Colombia,4900000.0
